mini_version,p50,p90,max,mean,top_decile_share,n
0.0.0,0.144149925,0.79356111,3.0432915000000005,0.33416077289999996,0.5356624525272038,1000
1.0.0,0.20113599999999998,0.9640353749999999,3.1376857499999993,0.37868071998357145,0.4175859034918547,3500
1.13.3,0.4648790999999999,0.95613066,3.0223629000000005,0.5583347409,0.23520043905618268,500
1.15.0,0.29450239999999994,0.757881115,2.5594564,0.383056495725,0.32037394201533875,1000
1.16.0,0.424869,1.5312236,3.1967775000000014,0.6550636735,0.35301900541123504,1000
1.17.0,0.2530764474999999,0.8723915269999999,3.053938785,0.42825617729,0.40249778859179336,500
1.17.1,0.040063869999999994,0.1251669,3.0493535999999994,0.062343189,0.3824398613936801,1000
1.17.2,0.2395903,1.0168685800000004,3.287268799999999,0.4284542394,0.4015559357305778,2500
1.7.0,0.04698715,0.4323666000000001,3.0480739999999997,0.188529537476,0.5852316850564891,2500
1.9.1,0.18755130000000003,0.6839523599999999,1.9756174000000002,0.2971903488,0.3613027059376701,500
2.0.0,0.31702474,0.9769417500000002,3.795579,0.4444235967756667,0.3473256644851752,6000
2.4.2,,,,,,0
