entry,p50,p90,max,mean,top_decile_share,n
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,0.0572304,0.93476547,3.0432915000000005,0.31370609759999996,0.7181719441337374,500
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,0.22527209999999998,0.7599018299999999,2.87936805,0.3546154482,0.37235477661855565,500
20250726_mini-v1.0.0_claude-sonnet-4-20250514,0.29796547500000004,0.7034752350000002,2.09303775,0.37145316780000004,0.2663002291402184,500
20250726_mini-v1.0.0_gemini-2.5-pro,0.20043609375000004,0.6065318125000001,3.003671874999999,0.28837209562500005,0.3300586839677165,500
20250726_mini-v1.0.0_o3-2025-04-16,0.203338,0.7015124,3.0236759999999987,0.333652748,0.3738625644408,500
20250726_mini-v1.0.0_o4-mini-2025-04-16,0.13074765,0.49860877,1.539549,0.2099733328,0.33511865750601644,500
20250802_mini-v1.0.0_claude-4-opus-20250514,0.9523529999999999,2.2407494249999993,3.1376857499999993,1.131270447,0.24368002649679402,500
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,0.1016748,0.66423404,2.6640444000000008,0.247927108,0.5114940557448039,500
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,0.01313517,0.21589624799999996,0.8770166399999997,0.06811614065999999,0.6354385515769178,500
20250807_mini-v1.7.0_gpt-5,0.20409975000000002,0.5192382500000001,3.0471180000000007,0.2803830175,0.3190792787583863,500
20250807_mini-v1.7.0_gpt-5-mini,0.025329175000000002,0.06997344,0.2720344,0.035477067300000005,0.3098927345665914,500
20250807_mini-v1.7.0_gpt-5-nano,0.013884589999999999,0.09717202700000002,0.78277719,0.03807518078,0.5788535032137542,500
20250807_mini-v1.7.0_gpt-oss-120b,0.025516299999999995,0.12730753999999997,1.278752499999999,0.05711905579999999,0.5117067813995623,500
20250807_mini-v1.7.0_kimi-k2-instruct,0.23242749999999995,1.1919931000000001,3.0480739999999997,0.531593366,0.4994144904359097,500
20250822_mini-v1.9.1_glm-4.5,0.18755130000000003,0.6839523599999999,1.9756174000000002,0.2971903488,0.3613027059376701,500
20250929_mini-v1.13.3_sonnet-4-5-20250929,0.4648790999999999,0.95613066,3.0223629000000005,0.5583347409,0.23520043905618268,500
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,0.3764111,0.78417772,2.5594564,0.45995751895000003,0.2690764257589054,500
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,0.18868137499999998,0.6340604250000001,2.2729505000000008,0.3061554725,0.39229797043722614,500
20251124_mini-v1.16.0_claude-opus-4-5-20251101,0.526363625,1.4480833499999999,3.046024250000001,0.721244997,0.29223020870396416,500
20251124_mini-v1.16.0_gpt-5.1-codex,0.27856625,1.7151461250000004,3.1967775000000014,0.5888823500000001,0.424282133774259,500
20251124_mini-v1.17.0_minimax-m2,0.2530764474999999,0.8723915269999999,3.053938785,0.42825617729,0.40249778859179336,500
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,0.024128370000000003,0.05047606199999999,0.14982016000000004,0.0280763028,0.24079274568872366,500
20251201_mini-v1.17.1_glm-4.6,0.0668508,0.16833829999999994,3.0493535999999994,0.09661007519999999,0.34391818794485324,500
20251209_mini-v1.17.2_devstral-2512,0.48502900000000004,1.4475494799999997,3.287268799999999,0.6760071296,0.3459652328495205,500
20251209_mini-v1.17.2_devstral-small-2512,0.10935415000000001,0.5956377299999999,2.838021000000003,0.23803033099999998,0.47647671758268484,500
20251210_mini-v1.17.2_kimi-k2-thinking,0.2431671,0.9568895000000002,3.0438701,0.4383072354,0.43097754028086943,500
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,0.172214,0.5850693450000001,2.2230026,0.2696674974,0.347893683905267,500
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,0.320482575,1.2825897349999997,3.08913535,0.5202590036,0.34821041009659137,500
20260217_mini-v2.0.0_claude-4-5-haiku-high,0.281095125,0.553554205,2.228701100000001,0.33092443610000005,0.25437331522584405,500
20260217_mini-v2.0.0_claude-4-5-opus-high,0.569069,1.4334311000000002,3.0804792500000007,0.753907997,0.28007207887463226,500
20260217_mini-v2.0.0_claude-4-5-sonnet-high,0.5665994999999999,1.0898742,3.02474085,0.6578964984000001,0.22297699433993518,500
20260217_mini-v2.0.0_claude-4-6-opus,0.308219625,1.3672331750000002,3.2862315000000004,0.5515226445,0.3878154770850937,500
20260217_mini-v2.0.0_deepseek-3-2-high,0.3650486549999999,0.7787285509999999,2.5219146299999995,0.4478464965,0.2658937654991792,500
20260217_mini-v2.0.0_gemini-3-flash-high,0.33104075,0.53174817,1.2710400499999992,0.35596413079999994,0.187472656444406,500
20260217_mini-v2.0.0_glm-5-high,0.35284910999999997,1.1525512169999996,3.053752940000001,0.53438913622,0.3405767691824355,500
20260217_mini-v2.0.0_gpt-5-2-high,0.35518805,0.9625656249999995,2.6613013000000008,0.4735670177,0.2905047206795795,500
20260217_mini-v2.0.0_gpt-5-mini,0.037457500000000005,0.089620135,0.2545942000000001,0.0472012191,0.2565544753059143,500
20260217_mini-v2.0.0_kimi-k2-5-high,0.10038595,0.29876888499999993,1.7145589020000003,0.14655374074400002,0.33884415769873866,500
20260217_mini-v2.0.0_minimax-2-5-high,0.048555942,0.14976476060000005,0.68647426,0.073289987844,0.36110607293771896,500
20260226_mini-v2.0.0_gemini-3-pro-high,0.8050589,1.7729584199999997,3.795579,0.9600198564,0.25403079985711013,500
20260901_mini-v2.4.2_gemini-3-5-flash,,,,,,0
