instance_id,total_observed_spend_usd,n_priced_attempts
astropy__astropy-13398,31.637387720000003,40
django__django-10554,39.34598144849999,40
django__django-10999,4.991595330000001,40
django__django-11087,23.169964740999998,40
django__django-13212,18.1599289765,40
django__django-13513,12.595999211,40
django__django-14011,16.242860651999997,40
django__django-14034,16.9018433605,40
django__django-14155,12.580075245499998,40
django__django-15629,21.059711316000005,40
django__django-16263,47.0807005075,40
django__django-16502,15.649360872499999,40
django__django-16631,17.203418234499996,40
django__django-16667,6.0834146549999994,40
matplotlib__matplotlib-25479,17.630603927,40
matplotlib__matplotlib-26466,13.2261785665,40
pydata__xarray-6992,7.390583949999999,40
pydata__xarray-7229,29.33239331,40
pylint-dev__pylint-4551,24.237323502,40
pylint-dev__pylint-4604,20.858916390500003,40
pylint-dev__pylint-4661,12.410070811,40
sphinx-doc__sphinx-11510,33.020449351,40
sphinx-doc__sphinx-7748,27.7449180345,40
sympy__sympy-20428,18.241420317,40
sympy__sympy-20438,21.081247234,40
sympy__sympy-21930,15.2948965075,40
